button,frequency,name,url,logo
U,91,ANTENNE BAYERN Live,https://stream.antenne.de/antenne/stream/mp3,AB_Live.png
U,92,ANTENNE BAYERN 90er Party,https://stream.antenne.de/antenne-bayern-90er-party/stream/mp3,AB_90Party.png
U,93,ANTENNE BAYERN 90er Hits,https://stream.antenne.de/90er-hits/stream/mp3,AB_90Hits.png
U,94,ANTENNE BAYERN 2000er Hits,https://stream.antenne.de/2000er-hits/stream/mp3,AB_2000Hits.png
U,95,ANTENNE BAYERN Greatest Hits,https://stream.antenne.de/greatest-hits/stream/mp3,AB_GreatestHits.png
U,96,ANTENNE BAYERN Workout Mix,https://stream.antenne.de/workout-hits/stream/mp3,AB_Workout.png
U,97,ANTENNE BAYERN Top 40,https://stream.antenne.de/top-40/stream/mp3,AB_Top40.png
U,98,ANTENNE BAYERN Dance XXL,https://stream.antenne.de/dance-xxl/stream/mp3,AB_DanceXXL.png
U,99,ANTENNE BAYERN Relax,https://stream.antenne.de/relax/stream/mp3,AB_Relax.png
U,100,ANTENNE BAYERN Weihnachts-Classics,https://stream.antenne.de/oldie-antenne-event/stream/mp3,AB_Weinachts.png
U,101,ANTENNE BAYERN Weihnachts-Classics,https://stream.antenne.de/oldie-antenne-event/stream/mp3,AB_Weinachts.png
U,102,Europa Plus,https://ep128.hostingradio.ru:8030/ep128,EuropaPlus.png
U,103,Europa Plus,https://ep128.hostingradio.ru:8030/ep128,EuropaPlus.png
U,104,DFM Радио 101.2 FM (DFM Radio),https://dfm.hostingradio.ru/dfm96.aacp,DFM.png
U,105,DFM Радио 101.2 FM (DFM Radio),https://dfm.hostingradio.ru/dfm96.aacp,DFM.png
